题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,
1831 年8月，英国物理学家法拉第在经历多次失败后，终于发现了电磁感应现象。法拉第最初发现电磁感应现象的实验装置如图所示，软铁环上绕有  、  两个线圈。关于该实验，下列说法中正确的是（ ）,先闭合 <img src="/files/attach/files/content/2020/0324/1585029541.015.png"> ，再闭合 <img src="/files/attach/files/content/2020/0324/1585029541.749.png"/> 后，线圈 <img src="/files/attach/files/content/2020/0324/1585029539.427.png"/> 中有持续的电流产生</img,先闭合 <img src="/files/attach/files/content/2020/0324/1585029541.749.png"/> ，再闭合 <img src="/files/attach/files/content/2020/0324/1585029541.015.png"/> 后，线圈 <img src="/files/attach/files/content/2020/0324/1585029539.427.png"/> 中有持续的电流产生,img src="/files/attach/files/content/2020/0324/1585029541.749.png"/> ， <img src="/files/attach/files/content/2020/0324/1585029541.015.png"/> 均闭合，断开 <img src="/files/attach/files/content/2020/0324/1585029541.749.png"/> 瞬间，线圈 <img src="/files/attach/files/content/2020/0324/1585029539.427.png"/> 中的感应电流向右流过电流表,img src="/files/attach/files/content/2020/0324/1585029541.749.png"/> ， <img src="/files/attach/files/content/2020/0324/1585029541.015.png"/> 2均闭合，断开 <img src="/files/attach/files/content/2020/0324/1585029541.749.png"/> 瞬间，线圈 <img src="/files/attach/files/content/2020/0324/1585029539.427.png"/> 中的感应电流向左流过电流表,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/bbed896dc6a0dc0ff37e5a74d8a6_8144933ex.png,dc0ff37e5a74d8a6_8144933ex.png,,,,,
下列四幅演示实验图中，实验现象能正确表述实验结论的是（ ）,图甲用磁铁靠近轻质铝环A，A会靠近磁铁,图乙断开开关S，触点C不立即断开,图丙闭合开关S时，电流表有示数，断开开关S时，电流表没有示数,图丁铜盘靠惯性转动，手持磁铁靠近铜盘，铜盘转动加快,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8b25e8a42d96b6801a37fdad81e0_10556312ex.png,6801a37fdad81e0_10556312ex.png,,,,,
如图甲所示，光滑水平面上有一个单匝均匀正方形铜线框，钱框质量为m，边长为a，总电阻为R．垂直于水平面的有界匀强磁场磁感应强度为B,磁场左、右边界相互平行，相距为b（b>3a）．线框的MN边与磁场边界平行．在垂直于MN的水平恒力F作用下线框水平向右运动，t＝0时MN边以速度v0进入磁场，t＝t0时线框完全进入磁场，t＝3t0时线框MN边以速度v0离开磁场．v－t图象如图乙所示( ),t＝0时，线框MN边两端电压为Bav<sub>0</sub,t<sub>0</sub>时刻线框的速度为（v<sub>0</sub>－2Ft<sub>0</sub>／m）,线框完全离开磁场的瞬间速度一定比t<sub>0</sub>时刻线框的速度大,线框在开始进入磁场到完全离开磁场过程中产生的电热为F（a＋b）,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e391ae1a43d34810d13854799351_743833ex.png,34810d13854799351_743833ex.png,,,,
下面关于电磁感应现象的说法中，正确的是（ ）,只要穿过闭合电路中的磁通量不为零，闭合电路中就一定有感应电流产生,穿过闭合电路中的磁通量减少，则闭合电路中感应电流减小,穿过闭合电路中的磁通量变化越快，则闭合电路中感应电动势越大,穿过闭合电路中的磁通量越大，则闭合电路中的感应电动势越大,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/223e1054e1733a177debd90ae63e_4839294ex.png,3a177debd90ae63e_4839294ex.png,,,,,
如图，边长为d的正方形线圈，从位置A开始向右运动，并穿过宽为L（L＞d）匀强磁场区域到达位置B，则（ ）,整个过程，线圈中始终有感应电流,整个过程，线圈中始终没有感应电流,线圈进入磁场和离开磁场的过程中，线圈中有感应电流，方向都是逆时针方向,线圈进入磁场过程中，感应电流的方向为逆时针方向；穿出磁场的过程中，感应电流的方向为顺时针方向,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/0562bfbd2834ee05b2ce95d77ce6_4119957ex.png,ee05b2ce95d77ce6_4119957ex.png,,,,,
在匀强磁场中放一电阻不计的平行金属导轨，导轨跟大线圈M相接，如图所示．导轨上放一根导线ab，磁感线垂直于导轨所在平面．欲使M所包围的小闭合线圈N产生顺时针方向的感应电流，则导线的运动可能是（ ）,匀速向右运动,加速向右运动,匀速向左运动,加速向左运动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/fc39af8b4dc822af9bfba44056e0_11329526ex.png,2af9bfba44056e0_11329526ex.png,,,,,
如图的无限大的磁场中，有一个矩形线圈abcd做下述运动，其中能使线圈中产生感应电流的运动是（ ）,以bc为轴转动,以ab为轴转动,垂直纸面向内匀速运动,在纸面内向下运动,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/47511ec407e1e088415242ff9870_4895578ex.png,e088415242ff9870_4895578ex.png,,,,,
如图所示，铜盘在磁极间匀速旋转．借助电刷在铜盘边缘和转轴间连接负载R，负载R上通过的是（ ）,交变电流,逐渐增大的电流,直流电流,逐渐减小的电流,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/bd4c97a40f61372e995ea8bc0bd0_4888004ex.png,372e995ea8bc0bd0_4888004ex.png,,,,,
电磁炉在炉内由交变电流产生交变磁场，使放在炉上的金属锅体内产生感应电流而发热，从而加热食品．电磁炉的工作利用了（ ）,电流的热效应,静电现象,电磁感应原理,磁场对电流的作用,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8dcd3be412255168561ab29db3e2_4888084ex.png,5168561ab29db3e2_4888084ex.png,,,,,
如图所示的电路中，A1、A2是完全相同的灯泡，线圈L的自感系数较大，它的电阻与定值电阻R相等．下列说法正确的是（ ）,闭合开关S，A<sub>1</sub>先亮、A<sub>2</sub>后亮，最后它们一样亮,闭合开关S，A<sub>1</sub>、A<sub>2</sub>始终一样亮,断开开关S，A<sub>1</sub>、A<sub>2</sub>都要过一会才熄灭,断开开关S，A<sub>2</sub>立刻熄灭、A<sub>1</sub>过一会才熄灭,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f93cb46748ba2b4fefeee348c740_4839302ex.png,2b4fefeee348c740_4839302ex.png,,,,,
如图所示，理想变压器原、副线圈的匝数n1：n2=4：1，当导体棒在匀强磁场中向左做匀速直线运动切割磁感线时，电流表  的示数是12mA，则电流表  的示数为（ ）,3 mA,0,48 mA,与负载R的值有关,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/382b06744d2a89da3b58582fcf46_4893426ex.png,89da3b58582fcf46_4893426ex.png,,,,,
物理课上，老师做了一个“神奇”的实验：如图所示，将30cm长的铝管竖直放置，一磁性很强的磁铁从上管口由静止释放，观察到磁铁用较长时间才从下管口落出。对于这个实验现象同学们经分析讨论做出相关的判断，你认为正确的是（下落过程中不计空气阻力，磁铁与管壁没有接触）。则（ ）,如果磁铁的磁性足够强，磁铁会停留在铝管中，永远不落下来,磁铁在铝管中运动的过程中，由于不计空气阻力，所以机械能守恒,如果磁铁的磁性足够强，磁铁在铝管中运动时间更长，但一定会落下来,如果将铝管换成塑料管，磁铁从塑料管中出来也会用较长时间,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/19170bddc699cc86bfe014a52b03_11471870ex.png,c86bfe014a52b03_11471870ex.png,,,,,
关于电磁感应现象的有关说法正确的是（ ）,只要穿过闭合电路中的磁通量不为零，电路中就有感应电流产生,穿过闭合电路中的磁通量减少，则电路中感应电流就减小,穿过闭合电路中的磁通量越大，则电路中的感应电动势越大,穿过闭合电路的磁通量变化越快，闭合电路中感应电动势越大,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/040fd6f5985e9f48745ccfa55001_4888062ex.png,9f48745ccfa55001_4888062ex.png,,,,,
如图为探究产生电磁感应现象条件的实验装置，下列情况下不能引起电流计指针转动的是（ ）,闭合电键瞬间,断开电键瞬间,闭合电键后拔出铁芯瞬间,闭合电键后保持变阻器的滑动头位置不变,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ab6e33ede0283ae1e28931e1dc47_4548380ex.png,3ae1e28931e1dc47_4548380ex.png,,,,,
发电的基本原理之一是电磁感应，发现电磁感应现象的科学家是,安培,赫兹,法拉第,奥斯特,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/dd87ecd2732901cb85da567e84f6_1013975ex.png,01cb85da567e84f6_1013975ex.png,,,,,
如图，MN和PQ是电阻不计的平行金属导轨，其间距为L，导轨弯曲部分光滑，平直部分粗糙，右端接一个阻值为R的定值电阻．平直部分导轨左边区域有宽度为d、方向竖直向上、磁感应强度大小为B的匀强磁场．质量为m、电阻也为R的金属棒从高为h处静止释放，到达磁场右边界处恰好停止．已知金属棒与平直部分导轨间的动摩擦因数为u，金属棒与导轨间接触良好．则金属棒穿过磁场区域的过程中（ ）,流过金属棒的最大电流为 <img alt="图片_x0020_47" height="38" src="/files/attach/files/content/2020/0324/44e0fbab075ddde209d0b47c9eb1dfd3.png" width="57",通过金属棒的电荷量为 <img alt="图片_x0020_48" height="35" src="/files/attach/files/content/2020/0324/8f60601fd1e36a518e5360c1e28abf28.png" width="29",克服安培力所做的功为mgh,金属棒产生的焦耳热为 <img src="/files/attach/files/content/2020/0324/1585029506.121.png"> mg（hμd）</img,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/73ca4aa7f8fe920ef0e6ff8849fc_3376191ex.png,920ef0e6ff8849fc_3376191ex.png,,,,,
如图所示，环形导线中通有顺时针方向的电流I，则该环形导线中心处的磁场方向为（ ）,水平向右,水平向左,垂直于纸面向里,垂直于纸面向外,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8de14bc08504e211e6bc9f344d95_11059646ex.png,211e6bc9f344d95_11059646ex.png,,,,,
如图所示，在垂直于纸面的范围足够大的匀强磁场中，有一个矩形线圈abcd，线圈平面与磁场垂直，O1O2和O3O4都是线圈的对称轴，应使线圈怎样运动才能使其中产生感生电流？（ ）,向左平动,向上或向下平动,向右平动,绕O<sub>1</sub>O<sub>2</sub>转动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f4b3a29ad344b2e63962d622667e_11959538ex.png,2e63962d622667e_11959538ex.png,,,,,
如图所示电路中，线圈L与灯泡LA并联，当合上开关S后灯LA正常发光．已知，线圈L的电阻小于灯泡LA的电阻．则下列现象可能发生的是(　　),当断开S时，灯泡L<sub>A</sub>立即熄灭,当断开S时，灯泡L<sub>A</sub>突然闪亮一下，然后逐渐熄灭,若把线圈L换成电阻，断开S时，灯泡L<sub>A</sub>逐渐熄灭,若把线圈L换成电阻，断开S时，灯泡L<sub>A</sub>突然闪亮一下，然后逐渐熄灭,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5bf1fbe14b4204e6d76e3021fcc9_11385686ex.png,4e6d76e3021fcc9_11385686ex.png,,,,,
如图所示，闭合圆导线线圈放置在匀强磁场中，线圈平面与磁场平行，其中ac、bd分别是平行、垂直于磁场方向的两条直径．试分析使线圈做如下运动时，能产生感应电流的是（　　）,使线圈匀速向右平移,使线圈加速向右平移,使线圈以ac为轴转动,使线圈以bd为轴转动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f81ed66ee8bdab754d22365450c1_4509881ex.png,ab754d22365450c1_4509881ex.png,,,,,
如图所示，线框平面与磁场方向垂直，现将线框沿垂直磁场方向拉出磁场的过程中，穿过线框磁通量的变化情况是（　　）,变小,变大,不变,先变小后变大,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/641b8b7bb469b7f0150b52c77007_1419755ex.png,b7f0150b52c77007_1419755ex.png,,,,,
如图竖直放置的长直导线ef中通有恒定电流，有一矩形金属线框abcd与导线在同一平面内，在下列情况中矩形线框中不产生感应电流的是（ ）,导线中电流强度变大,线框向右平动,线框以ad边为轴转动,线框以ef为轴转动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/455afacb9d5bb1fd73af17271012_3010313ex.png,b1fd73af17271012_3010313ex.png,,,,,
如图所示，在纸面内放有一个条形磁铁和一个圆形线圈（位于磁铁正中央），下列情况中能使线圈中产生感应电流的是（　　）,将磁铁在纸面内向上平移,将磁铁在纸面内向右平移,将磁铁绕垂直纸面的轴转动,将磁铁的N极转向纸外，S极转向纸内,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/eb6edeae14a837ad35b30ab6e91c_4393820ex.png,37ad35b30ab6e91c_4393820ex.png,,,,,
竖直导线ab与水平面上放置的圆线圈隔有一小段距离，其中直导线固定，线圈可自由运动，当同时通以如图所示方向的电流时（圆线圈内电流从上向下看是逆时针方向电流），则从左向右看，线圈将（ ）,不动,顺时针转动，同时靠近导线,顺时针转动，同时离开导线,逆时针转动，同时靠近导线,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3f84b083e9eb41652aec4907d6d7_4887148ex.png,41652aec4907d6d7_4887148ex.png,,,,,
首先发现电流磁效应的科学家是（ ）,安培,爱因斯坦,库仑,奥斯特,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/eb13cd4eca64af42b17ca7436476_9047808ex.png,af42b17ca7436476_9047808ex.png,,,,,
1820年丹麦物理学家奥斯特发现了电流的磁效应．在奥斯特实验中，将直导线沿南北方向水平放置，指针靠近直导线，下列结论正确的是（　　）,把小磁针放在导线的延长线上，通电后，小磁针会转动,把小磁针平行地放在导线的下方，在导线与小磁针之间放置一块铝板，通电后，小磁针不会转动,把小磁针平行地放在导线的下方，给导线通以恒定电流，然后逐渐增大导线与小磁针之间的距离，小磁针转动的角度（与通电前相比）会逐渐减小,把黄铜针（用黄铜制成的指针）平行地放在导线的下方，通电后，黄铜针会转动,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/eb90687d2a3585365906c61b55d1_1419756ex.png,85365906c61b55d1_1419756ex.png,,,,,
如图，竖直长直导线通以恒定电流I  ， 闭合线圈abcd与直导线在同一平面内，导致圈内磁通量发生变化的线圈运动是（　　）,水平向右平移,竖直向下平移,竖直向上平移,以竖直长直导线为轴转动,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/77e5122db26e2ff049843a39961f_1419753ex.png,2ff049843a39961f_1419753ex.png,,,,,
发电机利用水力、风力等动力推动线圈在磁场中转动，将机械能转化为电能．这种转化利用了（ ）,电流的热效应,电磁感应原理,电流的磁效应,磁场对电流的作用原理,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e36f9a5f336eba3397ca8e3c0883_4888054ex.png,ba3397ca8e3c0883_4888054ex.png,,,,,
下列说法正确的是( ),弹簧的劲度系数与弹簧的形变量成正比,法拉第通过实验首先发现了电流的磁效应,动车高速运行时，惯性与静止时一样大,物体受到的静摩擦力方向与其运动方向相反,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c31fb056ee33f58123a2353bffad_2451546ex.png,f58123a2353bffad_2451546ex.png,,,,,
如图所示，A为水平放置的胶木圆盘，在其侧面均匀分布着负电荷，在A的正上方用绝缘丝线悬挂一个金属圆环B，使B的环面水平且与圆盘面平行，其轴线与胶木盘A的轴线OO′重合．现使胶木盘A由静止开始绕其轴线OO′按箭头所示方向加速转动，则（ ）,金属环B的面积有扩大的趋势，丝线受到的拉力增大,金属环B的面积有缩小的趋势，丝线受到的拉力减小,金属环B的面积有扩大的趋势，丝线受到的拉力减小,金属环B的面积有缩小的趋势，丝线受到的拉力增大,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/e5fc64eabe43f0fe39cd913e9064_4888470ex.png,f0fe39cd913e9064_4888470ex.png,,,,,
如图所示，螺线管采用双线绕法．条形磁铁从上方插入的过程，关于电阻R上产生的感应电电流说法正确的是（　　）,感应电流的方向a流向b,感应电流的方向b流向a,没有感应电流产生,有感应电流产生，但方向无法确定,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8ec581fb46f0afb0b9a66d4fa533_5264279ex.png,afb0b9a66d4fa533_5264279ex.png,,,,,
如图所示，L为一个带铁芯的线圈，R是纯电阻，两支路的直流电阻相等，那么在接通和断开开关瞬间，两表的读数I1和I2的大小关系分别是（ ）,I<sub>1</sub>＜I<sub>2</sub>  ， I<sub>1</sub>＞I<sub>2</sub,I<sub>1</sub>＞I<sub>2</sub>  ， I<sub>1</sub>＜I<sub>2</sub,I<sub>1</sub>＜I<sub>2</sub>  ， I<sub>1</sub>=I<sub>2</sub,I<sub>1</sub>=I<sub>2</sub>  ， I<sub>1</sub>＜I<sub>2</sub,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a9453b172d0a7f56ec4af34b49c8_4839372ex.png,7f56ec4af34b49c8_4839372ex.png,,,,,
下列说法正确的是（　　）,当一种电荷出现时，必有等量的异种电荷出现；当一种电荷消失时，必有等量的异种电荷消失,摩擦起电现象使本没有电子和质子的物体中产生了电子和质子,两种不同材料的绝缘体互相摩擦后，一定同时带上不等量异种电荷,感应起电现象说明两个不接触的物体间也可以发生电子的转移,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/781c9115703741a714ded85d7ab7_4446287ex.png,41a714ded85d7ab7_4446287ex.png,,,,,
下列电器和设备工作时，工作过程与电磁感应现象无关的是（ ）,发电机,电磁炉,变压器,电热水器,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/d0ac6c8c94172aaad16f3110039e_4033829ex.png,2aaad16f3110039e_4033829ex.png,,,,,
面积为5×102m2的单匝矩形线圈放在磁感应强度为3×102T的匀强磁场中，当线圈平面与磁场方向垂直时，穿过线圈的磁通量是（　　）,3×10<sup></sup><sup>4</sup><span>Wb</span,2×10<sup></sup><sup>3</sup><span>Wb</span,5×10<sup></sup><sup>2</sup><span>Wb</span,1.5×10<sup></sup><sup>3</sup><span>Wb</span,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/d1d7e6a469ba33db604e808c5813_1419762ex.png,33db604e808c5813_1419762ex.png,,,,,
下列现象中属于电磁感应现象的是（ ）,通电导体周围产生磁场,电荷在磁场中定向移动形成电流,闭合线圈中因电流变化而产生感应电动势,磁场对感应电流有作用，阻碍导体和磁场相对运动,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c36c50902b190c43686756f39123_12186186ex.png,c43686756f39123_12186186ex.png,,,,,
如图所示，在条形磁铁N极附近悬挂一个金属闭合线圈，当磁铁运动时，线圈中( ),一定产生感应电流,不一定产生感应电流,不可能产生感应电流,无法确定,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f40557def3dac3d817d3b91669e2_6855771ex.png,c3d817d3b91669e2_6855771ex.png,,,,,
如图所示，匝数为N、半径为r1的圆形线圈内有匀强磁场，匀强磁场在半径为r2的圆形区域内，匀强磁场的磁感应强度B垂直于线圈平面．通过该线圈的磁通量为（　　）,Bπr<sub>1</sub><sup>2</su,Bπr<sub>2</sub><sup>2</su,NBπr<sub>1</sub><sup>2</su,NBπr<sub>2</sub><sup>2</su,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/fbf52e688d4692e127a447a5408c_1419760ex.png,92e127a447a5408c_1419760ex.png,,,,,
如图所示，把一条长直导线平行地放在小磁针的上方附近，当导线中有电流通过时，小磁针会发生偏转。首先观察到这个实验现象的物理学家是（ ）,奥斯特,法拉第,洛伦兹,楞次,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/0720ebb7c7f26d8249397d138218_6855765ex.png,6d8249397d138218_6855765ex.png,,,,,
下列现象中，属于电磁感应现象的是（ ）,小磁针在通电导线附近发生偏转,通电线圈在磁场中转动,闭合线圈在磁场中运动而产生电流,磁铁吸引小磁针,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8255e4d41ec1d307eb8f8b62af7b_3413819ex.png,d307eb8f8b62af7b_3413819ex.png,,,,,
如图所示，ab为一金属杆，它处在垂直于纸面向里的匀强磁场中，可绕a点在纸面内转动；S为以a为圆心位于纸面内的金属圆环；在杆转动过程中，杆的b端与金属环保持良好接触；A为电流表，其一端与金属环相连，一端与a点良好接触．当杆沿顺时针方向转动时，某时刻ab杆的位置如图，则此时刻（　　）,有电流通过电流表，方向由c→d；作用于ab的安培力向右,有电流通过电流表，方向由c→d；作用于ab的安培力向左,有电流通过电流表，方向由d→c；作用于ab的安培力向右,无电流通过电流表，作用于ab的安培力为零,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/4eb160ddff47232e426b8d82e8b0_4508007ex.png,232e426b8d82e8b0_4508007ex.png,,,,,
如图所示，边长为L的正方形导线框其质量为m，在距磁场上边界高H处自由下落，其下边框ab进入匀强磁场后，线圈开始做减速运动，直到其上边框cd刚穿出磁场时，其速度减为ab边刚进入磁场时的一半，磁场的宽度也为L，则线框穿越匀强磁场过程中产生的焦耳热为（ ）,2mgL,2mgL+mgH,2mgL+ <img src="/files/attach/files/content/2020/0324/1585029433.535.png"> mgH</img,2mgL+ <img src="/files/attach/files/content/2020/0324/1585029434.094.png"> mgH</img,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c36b03f69aa17d3c6103f7ac8f59_4840914ex.png,7d3c6103f7ac8f59_4840914ex.png,,,,,
如图所示，在载流直导线近旁固定有两平行光滑导轨A、B，导轨与直导线平行且在同一水平面内，在导轨上有两可自由滑动的导体ab和cd．当载流直导线中的电流逐渐增强时，导体ab和cd的运动情况是（　　）,一起向左运动,一起向右运动,ab和cd相向运动，相互靠近,ab和cd相背运动，相互远离,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ec26b54e6a3c151cdaac5b9f55af_4508005ex.png,151cdaac5b9f55af_4508005ex.png,,,,,
如图所示，一个导线框在匀强磁场中向垂直于磁感线的方向运动，导线中会不会产生感应电流( ),一定不会,一定会,可能会,可能不会,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7bda4ca73c4339e86f77e8e5e596_10026652ex.png,9e86f77e8e5e596_10026652ex.png,,,,,
如图所示，线圈abcd水平向右穿过磁场区域B时，在以下情况中，线圈中有感应电流产生的是（ ）,整个线圈都在磁场中上下平动,整个线圈都在磁场中左右平动,线圈离开磁场的过程中,线圈进入磁场后在它所在的平面内绕a点旋转,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/301ee5a24b9bc19bf0ab91b9ca9c_4839300ex.png,c19bf0ab91b9ca9c_4839300ex.png,,,,,
首先发现电流的磁效应和电磁感应的物理学家分别是（ ）,安培和法拉第,法拉第和楞次,奥斯特和安培,奥斯特和法拉第,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/0a3e1d734a390c4d4309e9ba882d_3413428ex.png,0c4d4309e9ba882d_3413428ex.png,,,,,
如图所示，闭合金属圆环下落过程中，穿过竖直放置的条形磁铁正中间位置时，下列说法正确的是（　　）,金属圆环的加速度等于<span>g</span,穿过金属圆环的磁通量为零,穿过金属圆环的磁通量变化率不为零,金属圆环沿半径方向有收缩的趋势,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/d3ad9ba9909270984a2d63c7bace_1419761ex.png,70984a2d63c7bace_1419761ex.png,,,,,
