题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,
在电磁感应现象中，下列说法正确的是（　　）,导体相对磁场运动，导体内一定产生感应电流,导体做切割磁感线运动，导体内一定会产生感应电流,闭合电路在磁场内做切割磁感线运动，导体内一定会产生感应电流,穿过闭合电路的磁通量发生变化，在电路中一定会产生感应电流,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b9fe4ac8382c0ce64578a4ae1ae9_4508001ex.png,0ce64578a4ae1ae9_4508001ex.png,,,,,
如图所示一个矩形线圈abcd放在垂直纸面向里的匀强磁场中，在进行下列操作时，整个线圈始终处于磁场之内，线圈中能产生感应电流的是（ ）,线圈沿纸面向右移动,线圈沿纸面向下移动,线圈垂直纸面向外移动,线圈以ab边为轴转动,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/b4e94a8edd4039b0cd5089f18341_4119954ex.png,39b0cd5089f18341_4119954ex.png,,,,,
图所示的磁场中，有三个面积相同且相互平行的线圈S1、S2和S3  ， 穿过S1、S2和S3的磁通量分别为Φ1、Φ2和Φ3  ， 下列判断正确的是（　　）,span>Φ<sub>1</sub></span>最大,span>Φ<sub>2</sub></span>最大,span>Φ<sub>3</sub></span>最大,span>Φ<sub>1</sub>=Φ<sub>2</sub>=Φ<sub>3</sub></span,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/9e284e9a25a428c00d2aca7cb8d4_1419752ex.png,28c00d2aca7cb8d4_1419752ex.png,,,,,
如图所示，匀强磁场中有两个导体圆环a、b，磁场方向与圆环所在平面垂直。磁感应强度B随时间均匀增大。两圆坏半径之比为2:1，圆环中产生的感应电动势分别为Ea和Eb  ， 不考虑两圆环间的相互影响。下列说法正确的是（ ）,E<sub>a</sub>:E<sub>b</sub>=4:1，感应电流均沿逆时针方向,E<sub>a</sub>:E<sub>b</sub>=4:1，感应电流均沿顺时针方向,E<sub>a</sub>:E<sub>b</sub>=2:1，感应电流均沿逆时针方向,E<sub>a</sub>:E<sub>b</sub>=2:1，感应电流均沿顺时针方向,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/458eb6d695ef0d6c7c6095f1bb84_2547754ex.png,0d6c7c6095f1bb84_2547754ex.png,,,,,
下列现象中属于电磁感应现象的是（ ）,磁场对电流产生力的作用,变化的磁场使闭合电路中产生电流,插在通电螺线管中的软铁棒被磁化,通电直导线使其旁边的小磁针发生偏转,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5b0aa7db133993964205c8988b58_10632174ex.png,3964205c8988b58_10632174ex.png,,,,,
关于产生感应电流的条件，下述说法正确的是（ ）,位于磁场中的闭合线圈，一定能产生感应电流,闭合线圈和磁场发生相对运动，一定能产生感应电流,闭合线圈做切割磁感线运动，一定能产生感应电流,穿过闭合线圈的磁感线条数发生变化，一定能产生感应电流,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c499b9c79aa931c189782fcda5aa_6855817ex.png,31c189782fcda5aa_6855817ex.png,,,,,
如图所示,有一正方形闭合线圈,在足够大的匀强磁场中运动.下列四个图中能产生感应电流的是（ ）,矩形线圈平行于磁场向右平移 <img height="90" src="/files/attach/files/content/2020/0324/82950e53b60b73d9ca62a3703a38df47.jpg" v:shapes="图片_x0020_1" width="108",矩形线圈垂直于磁场向右平移 <img height="94" src="/files/attach/files/content/2020/0324/2effc7f0fb4a79261df8d5dec67391f9.jpg" v:shapes="图片_x0020_2" width="126",矩形线圈绕水平轴<i>OO′</i>匀速转动 <img height="93" src="/files/attach/files/content/2020/0324/c90502d74bf21ddc68cbeb1c6771b76e.jpg" v:shapes="图片_x0020_3" width="134",矩形线圈绕竖直轴<i>OO′</i>匀速转动 <img height="108" src="/files/attach/files/content/2020/0324/6f40fe5570149bde0c3d306adfb5b4bb.jpg" v:shapes="图片_x0020_4" width="122",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/c6e7688ca40c27ec3a76a70e8341_11991638ex.png,7ec3a76a70e8341_11991638ex.png,,,
如图所示，abcd为水平放置的平行“l。导轨间有垂直于导轨平面的匀强磁场，磁感应强度大小为B，导轨电阻不计。已知金属杆MN倾斜放置，与导轨成角，单位长度的电阻为r，保持金属杆以速度v沿平行于cd的方向滑动（金属杆滑动过程中与导轨接触良好）。则（ ）,电路中感应电动势的大小为<img src="/files/attach/files/content/2020/0324/1585029406.542.png",电路中感应电流的大小为<img src="/files/attach/files/content/2020/0324/1585029407.248.png",金属杆所受安培力的大小为<img src="/files/attach/files/content/2020/0324/1585029407.463.png",金属杆的热功率为<img src="/files/attach/files/content/2020/0324/1585029408.165.png",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/31f14e29f282a06008a3ad264118_1211942ex.png,a06008a3ad264118_1211942ex.png,,,,,
如图所示，电源的电动势为E、内阻为r，L1、L2为两个相同的灯泡，线圈L的直流电阻不计，与灯泡L1连接的是一只理想二极管D.下列说法中正确的是（ ）,闭合开关S稳定后L<sub>1</sub>、L<sub>2</sub>亮度相同,断开S的瞬间，L<sub>2</sub>会逐渐熄灭,断开S的瞬间，L<sub>1</sub>中电流方向向左,断开S的瞬间，a点的电势比b点高,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/48af13125384613b6ca8e788f9d8_10556016ex.png,13b6ca8e788f9d8_10556016ex.png,,,,,
如图所示，一个有界匀强磁场区域，磁场方向垂直纸面向外．一个矩形闭合导线框abcd，沿纸面由位置1（左）匀速运动到位置2（右）．则g（ ）,导线框进入磁场时，感应电流方向为a→b→c→d→a,导线框离开磁场时，感应电流方向为a→d→c→b→a,导线框离开磁场时，受到的安培力方向水平向左,导线框进入磁场时，受到的安培力方向水平向右,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/9119c2c10338c0e78f5370d52f8c_4840484ex.png,c0e78f5370d52f8c_4840484ex.png,,,,,
如图所示，金属导轨上的导体棒ab在匀强磁场中沿导轨做下列哪种运动时，铜制线圈c中将有感应电流产生且被螺线管吸引（ ）,向右做匀速运动,向左做匀速运动,向右做减速运动,向右做加速运动,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/302651bb51ed4f9d9440541aa1bf_4889922ex.png,4f9d9440541aa1bf_4889922ex.png,,,,,
如图所示，匀强磁场的方向垂直于光滑的金属导轨平面向里，极板间距为d的平行板电容器与总阻值为2R0的滑动变阻器通过平行导轨连接，电阻为R0的导体棒MN可在外力的作用下沿导轨从左向右做匀速直线运动。当滑动变阻器的滑动触头位于a、b的中间位置、导体棒MN的速度为v0时，位于电容器中P点的带电油滴恰好处于静止状态．若不计摩擦和平行导轨及导线的电阻，重力加速度为g，则下列判断正确的是（）,油滴带正电荷,若将上极板竖直向上移动距离d，油滴将向上加速运动，加速度<img src="/files/attach/files/content/2020/0324/1585029396.935.png",若将导体棒的速度变为2v<sub>0</sub>  ， 油滴将向上加速运动，加速度a=2g,若保持导体棒的速度为v<sub>0</sub>不变，而将滑动触头置于a位置，同时将电容器上极板向上移动距离d／3，油滴仍将静止,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ad9a469d624e3fc59d660a0bbcb4_1019479ex.png,3fc59d660a0bbcb4_1019479ex.png,,,,,
两根相距为L的足够长的金属弯角光滑导轨如图所示放置，它们各有一边在同一水平面内，另一边与水平面的夹角为37°，质量均为m的金属细杆ab、cd与导轨垂直接触形成闭合回路，导轨的电阻不计，回路总电阻为2R，整个装置处于磁感应强度大小为B，方向竖直向上的匀强磁场中，当ab杆在平行于水平导轨的拉力F作用下以速度v沿导轨匀速运动时，cd杆恰好处于静止状态，重力加速度为g，以下说法正确的是（）,ab杆所受拉力F的大小为mg sin37°,回路中电流为<img src="/files/attach/files/content/2020/0324/1585029388.915.png",回路中电流的总功率为mgv sin37°,m与v大小的关系为m＝<img src="/files/attach/files/content/2020/0324/1585029390.233.png",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/90a85e76d85accf4ce1ce9b6916f_954455ex.png,accf4ce1ce9b6916f_954455ex.png,,,,,
下列说法正确的是（ ）,气体分子的体积等于气体的摩尔体积与阿伏加德罗常数之比,空气中水蒸气的实际压强与饱和汽压相差越大，水越难蒸发,叶面上的小露珠呈球形主要是水的表面张力作用,单晶体的各种物理性质都具有各向异性的特征,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/2c7a6710ff17a0f2a71047e5e193_12375556ex.png,0f2a71047e5e193_12375556ex.png,,,,,
某种油剂的密度为  ， 若不慎将0.8kg这种油剂漏到湖水中并形成单分子油膜，则湖面受污染面积约为(　　),img src="/files/attach/files/content/2020/0324/1585030683.060.png",img src="/files/attach/files/content/2020/0324/1585030683.775.png",img src="/files/attach/files/content/2020/0324/1585030684.482.png",img src="/files/attach/files/content/2020/0324/1585030685.620.png",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/93cd608a5eae182cea81c24f1911_1023400ex.png,182cea81c24f1911_1023400ex.png,,,,,
下列说法正确的是（ ）,油膜法实验时应先将-滴油酸酒精溶液滴入水面，再把痱子粉酒在水面上,已知氧气的摩尔体积和阿伏加德罗常数，可求氧分子的体积,液体中悬浮微粒的布朗运动是液体分子对它的撞击作用不平衡的结果,用打气筒的活塞压缩气体很费力，说明分子间有斥力,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/2fd02b349f157217efe2a0e3a72d_17155877ex.png,217efe2a0e3a72d_17155877ex.png,,,,,
已知地球的半径为6.4×103km，水的摩尔质量为1.8×10-2kg/mol，阿伏加德罗常数为6.02×1023个/mol,设想将1g水均匀地分布在地球表面，估算1m2的地球表面上分布的水分数目约为（ ）,7×10<sup>7</sup>个,3×10<sup>8</sup>个,3×10<sup>11</sup>个,7×10<sup>10</sup>个,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8221d114536c6749686339fd7db8_14350941ex.png,749686339fd7db8_14350941ex.png,,,,
用油膜法测出的分子直径后，要测阿伏加德罗常数，只需要知道油滴的（ ）,摩尔质量,摩尔体积,体积,密度,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ad4e097db4d24748e43f4e88d291_1006638ex.png,4748e43f4e88d291_1006638ex.png,,,,,
只要知道下列哪一组物理量,就可以估算出大气体中分子平均距离(),阿伏加德罗常数,该气体的摩尔质量和质量,阿伏加德罗常数,该气体的摩尔质量和密度,阿伏加德罗常数,该气体的质量和体积,该气体的密度,体积和摩尔质量,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f5916d6d1fa5b4688a85b8917d3d_1006644ex.png,b4688a85b8917d3d_1006644ex.png
用单分子油膜测分子的直径时，对其所用实验方法的正确认识是（ ）,用量筒测得油酸酒精溶液的体积V，计算油酸分子直径时要用到<img src="/files/attach/files/content/2020/0324/1585030670.218.png",用透明方格纸，是为了便于估算一滴油酸溶液形成的油膜面积,在水面上撒些痱子粉，是为了让油膜尽量散开并呈现圆形,在水面上撒些痱子粉，是为了围住油膜形成规则形状,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/02ab4684b8707fbf6449d3aac919_741960ex.png,07fbf6449d3aac919_741960ex.png,,,,,
为了减小“用油膜法估测分子的大小”的误差，下列方法可行的是（）,用注射器向量筒里滴100滴油酸酒精溶液，并读出量筒里这些溶液的体积V<sub>1</sub>  ， 则每滴油酸酒精溶液的体积<img src="/files/attach/files/content/2020/0324/1585030669.852.png",把浅盘水平放置，在浅盘里倒入一些水，使水面离盘口距离小一些,先在浅盘水中撒些痱子粉，再用注射器把油酸酒精溶液滴4滴在水面上,用牙签把水面上的油膜尽量拨弄成矩形,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/774d0860aca0e083bbf529158220_1007884ex.png,e083bbf529158220_1007884ex.png,,,,,
已知铜的密度为8.9×103kg/m3,原子量为64，通过估算可知每个铜原子所占的体积为（）,7×10<sup>-6</sup>m<sup>3</su,1×10<sup>-29</sup>m<sup>3</su,1×10<sup>-26</sup>m<sup>3</su,8×10<sup>-24</sup>m<sup>3</su,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/591bb1f5171dc0f00029512ce261_1006646ex.png,c0f00029512ce261_1006646ex.png,,,,
用油膜法测出分子直径后，要测出阿伏加德罗常数，只需知道油滴的（）,摩尔质量,摩尔体积,体积,密度,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/faab722969e8fb48c7c0064b841c_1007878ex.png,fb48c7c0064b841c_1007878ex.png,,,,,
在做“用油膜法估测分子的大小”实验时，先配制好浓度（单位体积溶液中含有纯油酸的体积）为η的油酸酒精溶液，并得到1滴油酸酒精溶液的体积为V用注射器在撒有均匀痱子粉的水面上滴l滴油酸酒精溶液，在水面上形成油酸薄膜，待薄膜形状稳定后测量出它的面积为S.关于本实验，下列说法正确的是（ ）,水面形成的油酸薄膜的体积为V,撒痱子粉是为了便于确定出油酸薄膜的轮廓,根据 <img height="42" src="/files/attach/files/content/2020/0324/91e772280d08bb5a18a636ccb993c337.png" v:shapes="_x0000_i1028" width="44"/> 可以估测油酸分子的直径,根据 <img height="44" src="/files/attach/files/content/2020/0324/a4c271d9e3465a32c2349002424311d5.png" v:shapes="_x0000_i1029" width="52"/> 可以估测油酸分子的直径,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/a077887195ea28149af660594089_10774852ex.png,8149af660594089_10774852ex.png,,,,,
儿童的肺活量约为2L，在标准状态下，空气的摩尔体积为22.4L/mol．他一次吸气能吸入的空气分子数约为（已知阿伏加德罗常数NA=6.02×1023mol1）（ ）,5×10<sup>21</sup>个,5×10<sup>22</sup>个,5×10<sup>23</sup>个,5×10<sup>24</sup>个,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7ae29234d6902c59f7677ed87829_11095434ex.png,c59f7677ed87829_11095434ex.png,,,,,
下列说法错误的是（ ）,悬浮在水中的花粉的布朗运动反映了花粉分子的热运动,分子间的距离增大时，分子间的引力和斥力都减小,用油膜法估测分子大小，如果油膜没有充分展开，测出来的分子大小将偏大,空中的小雨滴呈球形是水的表面张力作用的结果,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/88c50c35d14f7e620e4f4579deda_11397236ex.png,e620e4f4579deda_11397236ex.png,,,,,
下列可以算出阿伏加德罗常数的一组数据是(),水的密度和水的摩尔质量,水的摩尔质量和水分子的体积,水分子的体积和水分子的质量,水分子的质量和水的摩尔质量,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/181981780242b4cce868ed22840e_1006641ex.png,b4cce868ed22840e_1006641ex.png,,,,,
关于一般分子直径的数量级，下列说法正确的是（ ）,10<sup></sup><sup>9</sup>m,10<sup></sup><sup>10</sup>m,10<sup></sup><sup>1</sup>nm,10nm,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/cd702a18e69afc4d3934a1c502bf_3376469ex.png,fc4d3934a1c502bf_3376469ex.png,,,,,
利用油膜法测出了分子直径D后，若滴在液面上一滴油酸的体积为V，水面上形成的油膜面积为S，这滴油酸中的油酸分子数为N，阿伏加德罗常数为NA  ， 则下述表达式近似正确的是（）,V=<img src="/files/attach/files/content/2020/0324/1585030635.320.png">NπD<sup>3</sup></img,S=<img src="/files/attach/files/content/2020/0324/1585030636.106.png"/>NπD<sup>2</su,V=N<sub>A</sub>DS,S=N<sub>A</sub>πD<sup>2</su,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/7e6a68abd22eb676a42cd384dfe6_1007880ex.png,b676a42cd384dfe6_1007880ex.png,,,,,
下列说法正确的是（ ）,只要知道水的摩尔质量和水分子的质量，就可以计算出阿伏加德罗常数,悬浮微粒越大，在某一瞬间撞击它的液体分子数就越多，布朗运动越明显,温度升高，分子热运动的平均动能一定增大，所有分子的速率都增大,根据热力学第二定律可知，热量不可能从低温物体传到高温物体,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/fe91b5c069fa6c1eda94e886ad98_14724503ex.png,c1eda94e886ad98_14724503ex.png,,,,,
某振子做简谐运动的表达式为x=2sin（2πt+  ） cm，则该振子振动的振幅和周期为（　　）,2 cm，1 s,2 cm，2π s,1 cm， <img src="/files/attach/files/content/2020/0324/1585032373.504.png"/> s,1 cm，2π s,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/fd2ead2536915b854924821aaeec_4429787ex.png,5b854924821aaeec_4429787ex.png,,,,,
如图是一水平弹簧振子做简谐振动的振动图像（x-t图），由图可推断，振动系统（）,在<i>t</i><sub>1</sub>和<i>t</i><sub>2</sub>时刻有相等的动能和相同的动量,在<i>t</i><sub>3</sub>和<i>t</i><sub>4</sub>时刻有相等的势能和相同的动量,在<i>t</i><sub>4</sub>和<i>t</i><sub>6</sub>时刻有相同的位移和速度,在<i>t</i><sub>1</sub>和<i>t</i><sub>6</sub>时刻有相同的速度和加速度,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/9c22df5992961d9dbfdb1083feb2_1018998ex.png,1d9dbfdb1083feb2_1018998ex.png,,,,,
做简谐运动的弹簧振子，下述说法中正确的是（　　）,振子通过平衡位置时，加速度最大,振子在最大位移处时，速度最大,振子在连续两次通过同一位置时，位移相同,振子连续两次通过同一位置时，动能不同,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/f52374d04658f20231a1253b73c1_4429525ex.png,f20231a1253b73c1_4429525ex.png,,,,,
卡车在水平道路上行驶,货物随车厢上下做简谐运动而不脱离底板,设向下为正方向,其振动图像如图所示,则货物对底板压力小于货物重力的时刻是(　　),时刻t<sub>1</sub,时刻t<sub>2</sub,时刻t<sub>4</sub,无法确定,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/ab0df26bbb04f2e19f3cc6689ac8_1501115ex.png,f2e19f3cc6689ac8_1501115ex.png,
下列单摆的周期相对于地面上的固有周期变大的是 （ ）,加速向上的电梯中的单摆,在匀速水平方向前进的列车中的单摆,减速上升的电梯中的单摆,在匀速向上运动的电梯中的单摆,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/87d9cd975c1071f14ece316c7299_1011578ex.png,71f14ece316c7299_1011578ex.png,,,,,
做简谐振动的物体，当它每次  经过同一位置时，可能不同的物理量是(　　),位 移　,速度,加速度,回复力,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/5cae466e78b00570dd17b36fba80_1500908ex.png,0570dd17b36fba80_1500908ex.png,,,,,
在水平方向上做简谐运动的质点,其振动图像如图所示。假设向右的方向为正方向,则物体的位移向左且速度向右的时间段是(　　),0～1s内,1～2s内,2～3s内,3～4s内,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/98139859150279d99bfcd1b735c4_1500922ex.png,79d99bfcd1b735c4_1500922ex.png,,,
平衡位置位于原点．的波源发出简谐横波在均匀介质中沿水平、轴传播，P、Q为x轴上的两个点（均位于x轴正向），P与O的距离为25cm，此距离介于一倍波长与二倍波长之间，已知波源自t=0时由平衡位置开始向上振动，周期T=1s．当波传到P点时，波源恰好处于波峰位置；此后再经过5s，平衡位置在Q处的质点第一次处于波峰位置，则P，Q之间的距离为（ ）,133cm,95cm,85cm,75cm,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/35657f050a4a6e3610291179315b_3396240ex.png,6e3610291179315b_3396240ex.png,,,,,
一质点做简谐运动，其位移x与时间t的关系图象如图所示，由图可知，在t＝4 s时，质点的(　　),速度为正的最大值，加速度为零,速度为负的最大值，加速度为零,速度为零，加速度为负的最大值,速度  为零，加速度为正的最大值,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3649390d3668550337bb94692720_1500913ex.png,550337bb94692720_1500913ex.png,,,,,
一水平弹簧振子做简谐运动，周期为T，则(　　),若t时刻和(t＋Δt)时刻振子运动位移的大小相等、方向相同，则Δt一定等于T的整数倍,若t时刻和(t＋Δt)时刻振子运动位移的大小相等、方向相反，则Δt一定等于的整数倍,若Δt＝T，则在t时刻和(t＋Δt)时刻振子振动的加速度一定相等D.若Δt＝<img src="/files/attach/files/content/2020/0324/1585032348.824.png">  ， 则在t时刻和(t＋Δt)时刻弹簧振子的长度一定相等</img,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/60b051627e2d180e3a94f920d366_1499935ex.png,180e3a94f920d366_1499935ex.png,,,,,,
如图所示，1、2、3、4…是某绳（可认为是均匀介质）上一系列等间距的质点．开始时绳处于水平方向，质点1在外力作用下沿竖直方向做简谐运动，带动2、3、4…各个质点依次上下振动，把振动从绳的左端传到右端．已知t=0时，质点1开始向下运动，经过二分之一周期，质点9开始运动．则在二分之一周期时，下列说法正确的是（　　）,质点3向上运动,质点5所受回复力为零,质点6的加速度向下,质点9的振幅为零,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/3b658d3d815d1ec30934010a9db3_4393018ex.png,1ec30934010a9db3_4393018ex.png,,,,,
一个弹簧振子沿x轴做简谐运动,取平衡位置O为x轴坐标原点。从某时刻开始计时,经过四分之一的周期,振子具有沿x轴正方向的最大加速度。能正确反映振子位移x与时间t关系的图象是(　　),img src="/files/attach/files/content/2020/0324/1104c20ff567dcffb8a165597626203e.png",img src="/files/attach/files/content/2020/0324/dc1614c7f458d5ae9c7196502efe6b40.png",img src="/files/attach/files/content/2020/0324/6595246473a9693963d00578832033f2.png",img src="/files/attach/files/content/2020/0324/32d0cc9ca9897f255c94d4ecb049c7d3.png",A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/8d253b5b4764c22cf0e50734b8c5_1501114ex.png,c22cf0e50734b8c5_1501114ex.png,,
下列说法正确的是（　　）,一弹簧振子沿水平方向做简谐运动，则该振子所做的运动是匀变速直线运动,在某地的单摆，若摆长不变，当使摆球的质量增加、摆球经过平衡位置时的速度减小时，单摆做简谐运动的频率将不变，振幅将变小,做简谐运动的物体，每次经过同一位置时，速度一定相同,单摆在周期性外力作用下振动时，若外力的频率越大，则单摆的振幅就越大,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/21e209ee7fbd22a77852e08c5f7a_4299334ex.png,22a77852e08c5f7a_4299334ex.png,,,,,
一做简谐运动的弹簧振子，其质量为m，最大速率为v0 ． 若从某时刻算起，在半个周期内，合外力（ ）,做功一定为0,做功一定不为0,做功一定是 <img src="/files/attach/files/content/2020/0324/1585032331.287.png"> mv<sub>0</sub><sup>2</sup></img,做功可能是0到 <img src="/files/attach/files/content/2020/0324/1585032331.287.png"/> mv<sub>0</sub><sup>2</sup>之间的某一个值,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0324/bb6dad0224f58f33ddc12c226100_4858194ex.png,8f33ddc12c226100_4858194ex.png,,,,,
