下列各组变化类型相同的是（ ）,干馏和分馏,裂化和裂解,煤的气化和海水的蒸馏,蛋白质的变性和盐析,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/399a287783daacc2a136cf59c722_11507924ex.png,
下列实验操作或实验事实与物质化学性质无关的是（ ）,氯水长时间放置酸性增强,漂白粉放置在空气中失效,用加热的方法分离碘和氯化钠固体,用氯水和四氯化碳鉴别Cl<sup>-</sup>、Br<sup>-</sup>、I<sup>-</su,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/60e154dee064c6ca251667f1c50e_13866080ex.png,
下列变化中，属于物理变化的是 （ ）,光合作用,牛奶变酸,铁熔化成“铁水”,木材燃烧,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/eab17cc57daed33f9a08393c480b_13910586ex.png,
根据化学反应的实质是旧键断裂、新键形成的观点，下列变化没有发生化学键断裂的是（ ）,溴蒸气被活性炭吸附,电解水,HCl气体溶解于水,打雷放电时，O<sub>2</sub>变成O<sub>3</sub,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0dce877f6ca938c2641c0675c698_11569316ex.png,
以下变化是化学变化的是（ ）,升华,潮解,风化,萃取,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4fb937e5810fbee1e41a241a2ac0_16782047ex.png,
下列过程中，涉及化学变化的是 ( ),四氯化碳萃取碘水中的碘,生石灰被用作干燥剂后失效,过滤除去粗盐中的不溶性杂质,蒸馏法将海水淡化为饮用水,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/216aa4997176d358b7f744964f09_13866512ex.png,
从化学键的观点看，化学反应的实质是“旧键的断裂，新键的形成”，据此你认为下列变化属于化学反应的是（ ）,对空气进行降温加压,金刚石变成石墨,NaCl熔化,碘溶于CCl<sub>4</sub>中,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0cf7abe3329b49b56c92d5a8a5ec_794936ex.png,
下列关于煤和石油的加工过程属于物理变化的是（ ）,煤的干馏,煤的汽化和液化,石油的分馏,石油的裂化和裂解,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/edfe7d7fa196df16fcd510f7e198_11569108ex.png,
在化学变化中，会发生变化的是（ ）,质子数,中子数,电子数,质量数,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/843e30618865ad7f916b6968e1b8_792070ex.png,
下列变化中，属于物理变化的是（ ）  ①石油的分馏②煤的干馏③石油的裂化④铝热反应⑤由乙烯变为聚乙烯⑥氧气转变为臭氧⑦乙烯催熟果实⑧苯遇溴水⑨海水蒸馏法制取淡水．,①②③④,①②⑤⑦,①⑧⑨,①②⑥⑨,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d69acc98973018eb2ad837f9a140_3652168ex.png,
下列变化属于化学变化的是（ ）,碘的升华,金属的焰色反应,液溴的气化,漂白粉久置失效,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/904458692de9a1ef831716026bae_3430994ex.png,
下列变化过程与化学反应无关的是( ),苯与溴水混合振荡后，溴水层接近无色,酸性高锰酸钾溶液中通入乙烯，溶液紫红色褪去,光照条件下甲烷与氯气混合气体的颜色变浅,苯乙烯使溴的四氯化碳溶液褪色,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1027ae5947676c552556cc8ec2b0_11432722ex.png,
下列变化中，属于物理变化的是（ ）,煤的干馏,石油的分馏,石油的裂解,蛋白质变性,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d204c0f927544408e7b78b5fb3e6_11432230ex.png,
下列物质的提纯方法可能属于化学变化的是 ）,蒸馏,渗析,过滤,洗气,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5dd88c4cf8d9dcf4053c645e8c30_3517510ex.png,
下列变化不属于化学变化的是（ ）,石油分馏,煤干馏,石油裂解,皂化反应,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a2f25ebefa3592e4b32a450d1f14_11507572ex.png,
下列过程一定发生化学变化的是（　　）,萝卜风干,苹果冷藏,葡萄酿酒,甘蔗榨汁,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/aecb30ed7091a01b59a5808e44e0_2425861ex.png,
下列过程没有发生化学反应的是（ ）,用活性炭去除冰箱中的异味,用热碱水清除炊具上残留的油污,用浸泡过高锰酸钾溶液的硅藻土保鲜水果,用含硅胶、铁粉的透气小袋与食品一起密封包装,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a6a5c71fcf137a2df19e9538050e_3577843ex.png,
下列过程属于物理变化的是（ ）,钢铁生锈,干冰升华,臭氧消毒,食物腐败,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b5ce58e08bab36d275f26728d413_6630033ex.png,
生活中的下列现象，属于化学变化的是（　　）,玻璃破碎,冰雪融化,食物腐败,衣服晾干,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0398f9a0858403061e6a122e9cf4_2425860ex.png,
我们每天生活在不断变化的物质世界里，以下属于化学变化的是（　　）,冰雪融化,干冰升华,蜡烛燃烧,酒精挥发,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4d4c45f57fab6ebad29cb73b2c08_6087275ex.png,
关于下列诗句或谚语，说法不正确的是（　　）,“忽闻海上有仙山，山在虚无缥缈间”的海市蜃楼是一种自然现象，与胶体知识有关,“水乳交融，火上浇油”前者包含物理变化，而后者包含化学变化,“滴水石穿、绳锯木断”不包含化学变化,“落汤螃蟹着红袍”肯定发生了化学变化,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d905740deca4e2bb7aa700543417_2425827ex.png,
可以用来分离蛋白质与食盐溶液的方法是（　　）,电泳,过滤,渗析,分液,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/11332fd18f3506a1560aad791c6b_2324686ex.png,
下列叙述不正确的是(　　),天然气的主要成分是甲烷，是一种清洁、不可再生的化石燃料,煤的干馏、气化和液化都发生了化学变化,石油的分馏、裂化和裂解都发生了化学变化,煤干馏和石油分馏都能获得烃类物质,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3cfd4ecce06e1b59cc8889d2f0fa_6766409ex.png,
下列有关化学实验的说法中，不正确的是（　　）,可用渗析的方法除去淀粉胶体中的Na<sup>+</su,中和滴定前必须排尽滴定管中的气泡,CO和NO都不能用排空气法收集,过滤时如果很慢，可用玻璃棒搅拌漏斗中的悬浊液,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/157d404b1e555949024ba829d1d7_2324685ex.png,
下列石油的炼制和加工过程，属于物理变化的是(　　),分馏,重整,裂化,裂解,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0d4ed02f07243593a40af2df5d8d_6766407ex.png,
根据化学反应的实质是旧键断裂、新键形成这一观点，下列变化不属于化学反应的是（ ）,干冰气化,氧气转化成臭氧,二氧化碳溶于水,加热碳酸氢铵,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1a650e28fd1fa917d2c02bf7a85b_13472170ex.png,
下列过程属于化学变化的是（　　）,矿石粉碎,海水晒盐,生铁冶炼,水果榨汁,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/2fc4132d1540a74056b7d8252d2d_2425864ex.png,
下列过程不涉及化学变化的是（　　）,高炉炼铁,海水蒸馏,石油裂解,煤的干馏,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3dfd18e02844e3a0005b8bedd0f6_2425803ex.png,
实验室用渗析的方法分离淀粉和食盐的混合液，其装置如图所示．Na+与Cl﹣能穿过半透膜进入烧杯，而淀粉高分子则留在半透膜袋中．下列分离混合物的方法中，与渗析操作的原理相似的是（　　）,用萃取分液的方法分离溴和水,用层析的方法分离溶液中的Cu<sup>2+</sup>和Fe<sup>3+</su,用蒸馏的方法分离甲醇和乙醇,用过滤的方法分离碳酸钙固体和氯化钙溶液,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/83a5da7a53086b0159be1f1851dc_2324664ex.png,
已知Fe（OH）3胶体微粒能吸附Fe3+离子．将制得的Fe（OH）3胶体装入半透膜袋中，并浸没在盛有蒸馏水的烧杯中．隔一段时间后，烧杯里的水中含有的离子最多的是（　　）,H<sup>+</sup>、OH<sup>﹣</su,H<sup>+</sup>、Cl<sup>﹣</su,Fe<sup>3+</sup>、Cl<sup>﹣</su,Fe<sup>3+</sup>、OH<sup>﹣</su,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b3111f3c4ddedb6c751948d8dbd9_2324661ex.png,
下列诗句或谚语都与化学现象有关，下列说法错误的是（ ）,“忽闻海上有仙山，山在虚无缥缈间”的海市蜃楼是一种自然现象，与胶体知识有关,“落汤螃蟹着红袍”肯定发生了化学变化,“滴水石穿”包含化学变化，而“绳锯木断”则不包含化学变化,“卤水点豆腐，一物降一物”发生了化学反应,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a6aae220ddf4ccf269fdfd20d1c1_13471554ex.png,
下列变化过程中，没有发生化学变化的是（ ）,铁的钝化,光合作用,碘的升华,燃放烟花,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2857781990ee1a38885b7052822_3517974ex.png,
下列诗句或谚语可能与化学反应有关，其中说法正确的是 （ ）,“水乳交融，火上浇油”前者包含物理变化，后者包含化学变化,“滴水石穿．绳锯木断”不包含化学变化,“蜡炬成灰泪始干”包含的是物理变化,石灰吟中“烈火焚烧若等闲”指的是加热，不包含化学变化,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/073fe1e25c2eccac4b9179aa886d_3238253ex.png,
下列过程发生化学变化的是（　　）,酒香扑鼻,蜡烛照明,用金刚石切割玻璃,太阳能供热,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4941ce54d938f9770438b0c0e82e_2425858ex.png,
淀粉溶液是一种胶体，并且淀粉遇到碘单质可以出现明显的蓝色特征，现将淀粉和稀Na2SO4溶液混合，装在半透膜中，浸泡在盛有蒸馏水的烧杯中，过一段时间后，取烧杯中液体进行实验，能证明半透膜完好无损的是（　　）,加入Ba（NO<sub>3</sub>）<sub>2</sub>溶液产生白色的沉淀．,加入碘水变蓝,加入Ba（NO<sub>3</sub>）<sub>2</sub>溶液没有白色沉淀,加入碘水不变蓝,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/630b38b50a9f9fc3b03cad9ba549_2324651ex.png,
已知溶质粒子能透过半透膜，胶体粒子不能透过半透膜，但能透过滤纸．淀粉溶液是一种胶体，并且淀粉遇到碘单质，可以出现明显的蓝色特征．现将淀粉和稀Na2SO4溶液混合，装在半透膜中，浸泡在盛蒸馏水的烧杯内，过一段时间后，取烧杯中液体进行实验，能证明半透膜完好无损的是（　　）,加BaCl<sub>2</sub>溶液有白色沉淀,加入碘水不变蓝,加入BaCl<sub>2</sub>溶液无白色沉淀,加入碘水变蓝,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2acc24136142fd0cd2278086345_2324645ex.png,
下列物质的用途与其物理性质有关的是（ ）,用白醋或稀盐酸洗去水壶或热水瓶胆上的水垢,用石墨作干电池的电极,做馒头时，在发酵后的面团中加入适量的纯碱，使蒸熟的馒头疏松多孔,用生石灰作方便面等包装食品的干燥剂,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/6efc6e4f0cb210335b38fc7a8643_7983659ex.png,
下列物质暴露在空气中不容易变质的是( ),Na<sub>2</sub>O,Na<sub>2</sub>O<sub>2</sub,NaOH,Na<sub>2</sub>SO<sub>4</sub,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/456c4af403b8f420203ee76f073e_6439421ex.png,
下列物质暴露在空气中，会发生风化的是（ ）,食盐,石碱,烧碱,氧化钙,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/551c97dc6ddda282b98c99adfb68_2746712ex.png,
将淀粉与KI的混合液装在半透膜中，浸泡在盛有蒸馏水的烧杯中，过一段时间后，取烧杯中的液体进行实验，能证明半透膜有破损的是（　　）,加入碘水不变蓝色,加入碘水变蓝色,加入AgNO<sub>3</sub>溶液不产生黄色沉淀,加入AgNO<sub>3</sub>溶液产生黄色沉淀,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/13f7de56c46151935c5ebf72673b_2324643ex.png,
下列过程属于物理变化的是（ ）,油脂的水解,乙酸的酯化,石蜡油的分解,石油的分馏,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f21326929b2187611262a7cd51ff_3019984ex.png,
下列我国古代技术应用中，其工作原理不涉及化学反应的是（　　）,黑火药爆炸,用铁矿石炼铁,湿法炼铜,转轮排字,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ad8abd0b7f24dc2453973d6d7763_2425798ex.png,
从化学键的角度看化学反应的实质是“旧化学键的断裂，新化学键的形成”，下列既有旧化学键的断裂，又有新化学键形成的变化是（ ）,酒精溶解于水,白磷熔化,氯化钠受热熔化,碳酸氢铵受热分解,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b05b6539ed8707a75e251c493be5_11319070ex.png,
下列过程中属于物理变化的是（ ）,煤的燃烧,碘的升华,铜的锈蚀,铝的冶炼,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/948cb29ca46806bc72c4f85b0bc5_3577892ex.png,
淀粉溶液是一种胶体，淀粉遇到碘单质可以出现明显的蓝色特征．现将淀粉和NaCl溶液混合，装在半透膜中，浸泡在盛有蒸馏水的烧杯内，过一段时间后，取烧杯中液体进行实验，能证明半透膜完好无损是（　　）,加入单质碘变蓝,加入单质碘不变蓝,加入AgNO<sub>3</sub>溶液没有白色沉淀产生,加入AgNO<sub>3</sub>溶液产生白色沉淀,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e4557668bd016e91538eee4fbb1e_2324663ex.png,
古诗词是古人为我们留下的宝贵精神财富．下列诗句中只涉及物理变化的是（ ）,野火烧不尽，春风吹又生,春蚕到死丝方尽，蜡炬成灰泪始干,只要功夫深，铁杵磨成针,爆竹一声除旧岁，春风送暖入屠苏,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/64cac1b3b0b6b6fae1610fef1808_2771816ex.png,
下列变化过程不包含化学变化的是（ ）,煤的干馏,煤的气化,煤的液化,石油分馏,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/2b8f2f23031461d7b0544208c2cf_3404516ex.png,
下列物质的使用不涉及化学变化的是（　　）,过氧化钠作供氧剂,液氨用作致冷剂,福尔马林作防腐剂,生石灰作干燥剂,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/459e160704cf3e676033a0fa2f32_2425832ex.png,
下列家庭实验中不涉及化学变化的是 ( ),用少量食醋除去水壶中的水垢,用糯米、酒曲和水制甜酒酿,用75%的酒精杀菌消毒,用木炭除去冰箱中的异味,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/7963219410d6ad4bb9a88708afde_8103373ex.png,
下列叙述中，错误的是( ),CaCO<sub>3</sub>、Ca(HCO<sub>3</sub>)<sub>2</sub>、Cu<sub>2</sub>(OH)<sub>2</sub>CO<sub>3</sub>都属于碳酸盐,盐酸、纯碱、醋酸钠和生石灰分别属于酸、碱、盐和氧化物,蓝矾(CuSO<sub>4</sub>·5H<sub>2</sub>O)和干冰属于化合物，铁矿石属于混合物,Ba(OH)<sub>2</sub> 、NaOH、Ca(OH)<sub>2</sub>属于强碱,E,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b8fc2c64cf901de0940fe20d6090_13910286ex.png,
由肾功能衰竭引起血液中毒时，常用的血液净化方法与下列相类似的是（　　）,过滤,渗析,电泳,聚沉,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5792ac8d6362aad03d0510c4912d_2324687ex.png,
下列变化中，不属于化学变化的是（ ）,新制氯水使有色布条褪色,过氧化钠使某些染料褪色,二氧化硫使溴水褪色,活性炭使红墨水褪色,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b843a48b57d446195f7d27b7c81a_3306059ex.png,
下列技术应用中，其工作原理不涉及化学反应的是( ),A,B,C,D,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/cbbcd7da0463b41354885882754c_6437799ex.png,
下列过程属于物理变化的是（　　）,液氯净水,蜡烛照明,食物腐败,用金刚石切割玻璃,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8900df1a0dc071268ae40e0a0de6_2425848ex.png,
下列家庭实验中不涉及化学变化的是（　　）,用84消毒液和洁厕灵混合得到氯气,用少量食醋除去水壶中的水垢,用糯米、酒曲和水制甜酒酿,用鸡蛋壳膜和蒸馏水除去淀粉胶体中的食盐,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b77bc3ab0ce163db6cc42ae62ba7_5615277ex.png,
下列物质变化或操作过程中发生化学变化的是（　　）,硅胶作袋装食品的干燥剂,氯气作自来水杀菌消毒剂,用铂丝蘸取碳酸钠溶液在酒精灯外焰上灼烧,用蒸馏的方法除去自来水中的Cl<sup>﹣</su,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b49b665bbb4165b6d59a5d16656c_5170979ex.png,
下列有关生活中的化学，说法不正确的是（　　）,石油裂解、煤的气化、海水制镁都包含化学变化,福尔马林用于制备标本是利用了其使蛋白质变性的性质,红葡萄酒储藏时间长后变香可能是因为乙醇发生了酯化反应,含钙、钡、铁等金属元素的物质有绚丽的颜色，可用于制造焰火,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/b5c696578e3b319d4b6fa4aab93b_2425867ex.png,
《中国诗词大会》不仅弘扬了中国传统文化，还蕴含着许多化学知识，下列诗词分析不正确的是（ ）,李白诗句“日照香炉生紫烟，遥看瀑布挂前川”，“紫烟”指“香炉”中碘升华的现象,刘禹锡诗句“千淘万漉虽辛苦，吹尽狂沙始到金”，金性质稳定，可通过物理方法得到,王安石诗句“爆竹声中一岁除，春风送暖入屠苏”，爆竹的燃放涉及氧化还原反应,曹植诗句“煮豆燃豆萁，豆在釜中泣”，这里的能量变化主要是化学能转化为热能,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/415ffd6b31ac3a93ce9248b50289_4136387ex.png,
将10mL淀粉胶体和5mL氯化钠溶液混合后，放入用半透膜制成的袋内，将此袋浸入蒸馏水中（如图所示），2min后分别取袋内和烧杯内液体进行实验．下列说法正确的是（　　）,袋内液体加入硝酸银溶液后无变化,烧杯内液体加入碘水后呈蓝色,袋内液体加入碘水后不变蓝,烧杯内液体加入硝酸银溶液后有白色沉淀产生,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a962c8ad395cd0af75d7bc2cb33f_2324682ex.png,
肾脏病患者需要将血液中的毒液排除，常进行血透治疗，其原理是（　　）,聚沉,过滤,渗析,分液,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/fa6974023619cec13332b5753e0c_2324679ex.png,
关于化学反应的本质的说法不正确的是（　　）,化学反应都有新物质生成,化学反应都有能量变化,化学反应是旧键断裂新键形成,化学反应都需要在敞口容器中进行,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a0e9a220d9fa7b8326dde2e253bf_2425526ex.png,
下列现象是由于物理变化引起的是( ),漂白粉使某些染料褪色,氯水使有色布条褪色,二氧化硫使品红溶液褪色,活性炭使红墨水褪色,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/87c250b6d210bb6261bdb03e5e4c_6439411ex.png,
化学与生产和生活密切相关．下列过程中没有发生化学变化的是（　　）,氯气作自来水的杀菌消毒剂,硅胶作袋装食品的干燥剂,二氧化硫作纸浆的漂白剂,大气中的NO<sub>2</sub>导致酸雨的形成,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e9edb1f957dae92fd59848545ced_5170799ex.png,
下列过程属于化学变化的是（ ）,氮的固定,干冰升华,海水晒盐,氧气液化,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f5b67551058555f12c71408f0c13_7128351ex.png,
下列变化属于物理变化的是（ ）,石油的催化裂化和裂解,煤的液化、气化和煤的干馏,漂白的草帽久置于空气中变黄,石油的分馏和海水蒸馏,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9cdf5b5d98256e1bd3200f0a2ae8_3020550ex.png,
下列过程没有发生化学反应的是,用过氧化钠作呼吸面具的供养剂,工业接触法制备硫酸时，原料在沸腾炉中发生的变化,用活性炭去除冰箱中的异味,用含硅胶、铁粉的透气小袋与食品一起密封保存,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d7f2e92ca22be3f1e1767ac62936_8963544ex.png,
根据化学反应的实质是旧键断裂、新键生成这一理论，下列变化不属于化学反应的是( ),水在高温加热后变成水蒸气,生石灰变熟石灰,石墨转变为金刚石,钠投入水中,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/042273f9d65755af8093e9b1d8d4_13591428ex.png,
下列过程属于物理变化的是（　　）,油脂酸败,空气液化,白酒变酸,粉尘爆炸,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c3df0ef0bc13c6dc60d37695b589_2425844ex.png,
下列过程属于化学变化的是（ ）,用活性炭除去冰箱中的异味,焰色反应,Al(OH)<sub>3</sub>胶体净水,二氧化硫通入品红溶液,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9eba1e14f607c333c7fcc88530c4_6817575ex.png,
欲除去氢氧化铁胶体中混有的Na+和Cl﹣  ， 可选用的方法是（　　）,过滤,蒸馏,用半透膜进行渗析,蒸发,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/ff1d435e6c7bc6d571abc5ab2eed_2324652ex.png,
淀粉溶液是一种胶体，并且淀粉遇到碘单质会出现明显的蓝色特征．现将淀粉和稀Na2SO4溶液混合，装在半透膜袋中，浸泡在盛蒸馏水的烧杯内，过一段时间后，取烧杯中液体进行实验，能证明半透膜完好无损的是（　　）,加入BaCl<sub>2</sub>溶液产生白色沉淀,加入碘水不变蓝,具有丁达尔效应,加入碘水变蓝色,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/57a3efde33cce6157952a3b1606f_2324684ex.png,
下列诗句描述的过程中包含化学变化的是（ ）,宝剑锋从磨砺出,蜡烛对烧红泪乾,风吹柳花满店香,玉碗冰寒滴露华,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/fc615d0988d7ceaa46a21cc9a18c_7128865ex.png,
在下列自然资源的开发利用中，不涉及化学变化的是（　　）,用海水制盐,从海水中提取镁,从海水中提取溴,从海带中提取碘,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a73052f0b1980ddd230cbf5772a6_2425857ex.png,
下列变化属于化学变化的是（ ）,过滤法除去水中的泥沙,分液法分离汽油与水,蒸馏法除去酒精中的水,沉淀法除去钠离子中的钙离子,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e5af6495588b1ee31f8d389b5355_11433638ex.png,
下列变化中，不属于化学变化的是（　　）,二氧化硫使品红溶液褪色,氯水使有色布条褪色,活性炭使红墨水褪色,漂白粉使某些染料褪色,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9146a48266972bf07fced9a9a59d_5166611ex.png,
下列变化不能说明发生了化学变化的是（ ）,变化时有电子的得失或共用电子对的形成,变化过程中有旧化学键的断裂和新化学键形成,变化时释放出能量,变化前后原子的种类和数目没有改变，分子种类增加了,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5b46abbbcb94514ae4a3c0bd61d9_2752814ex.png,
化学与生产、生活密切相关，下列说法正确的是（　　）,盐卤可用于制作豆腐,从海水中提取物质都要通过化学反应才能实现,煤经过气化和液化等物理变化可转化为清洁燃料,制作航天服的聚醋纤维和用于光缆通信的光导纤维都是新型无机非金属材料,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/88d65926f85ff61509fc58e781b9_2472836ex.png,
20世纪80年代人们发现了碳的另一类单质，它们是由一系列偶数个碳原子组成的分子中C60（足球烯，分了中含有30个双键）是具代表性．X为n个C60连接而成的物质，结构如图（　　）,C<sub>60</sub>转变为X是物理变化,X中含积极性共价键,X与金刚石互为同位素,X能够发生加成反应,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/874da8cdcd0b33853e6564a222b6_2425880ex.png,
下列各项古代工、农业活动中，其原理不涉及化学反应的是（ ） A．水车灌溉B．粮食酿醋C．黏土烧砖D．湿法炼铜,A,B,C,D,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/7a545c36e099d6a613dcc72e89e0_2326644ex.png,
处处留心皆知识．生活中遇到下列问题，不涉及到化学变化的是（　　）,植物光合作用,用四氯化碳可擦去圆珠笔油,自来水厂用液氯消毒,可用食醋洗掉水垢,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2a2fef513d8033460441f01a43c_5265763ex.png,
下列变化过程中，没有发生化学变化的是（　　）,用食盐水生产氯气,从海带中提取碘,氨气加压制液氨,用黏土和石灰石制水泥,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0dddf09727540644cbf58a047b14_5266111ex.png,
下列过程发生化学变化的是（ ）,香水挥发,海水晒盐,冷、浓硝酸使铁片钝化,干冰升华,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9768c11886f9f4ae62f630a6ec51_3781789ex.png,
为了除去蛋白质溶液中混有的少量食盐，可采用的方法是（　　）,过滤,渗析,萃取,重结晶,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/206966eb54529e0bf62952f8aa5b_2324688ex.png,
下列工作原理或变化过程不涉及化学反应的为( ),高炉炼铁,火箭发射,酸雨的形成,丁达尔效应,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/502908f7c9cc8ae2b9c32f2aecc4_10432467ex.png,
中华民族有着光辉灿烂的发明创造史，下列古代的技术应用中不涉及化学反应的是（ ）,烧结粘土制陶瓷,湿法炼铜,海水晒盐,粮食酿酒,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f2dfc38f0f5bc4a9e7773f3c2ad9_2331139ex.png,
下列属于物理变化的是（　　）,煤的干馏,石油的裂解,煤的气化,石油的分馏,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8528761ff93aa1bd4abfd34ed249_2425842ex.png,
下列属于化学变化的是（　　）,干冰升华,氯气液化,海水晒盐,钢铁生锈,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1b28feebed4ed5a6951ce6f1adb9_5165431ex.png,
中华语言博大精深，下列词语中，其含意是物理变化的是（ ）,蜡炬成灰,滴水穿石,百炼成钢,曾青得铁,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d3602c62078942ed267295ca58b9_3526763ex.png,
下列过程涉及化学变化的是 （ ）,百炼成钢,碘的升华,氨气液化,滴水成冰,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/694a8c7429d2182c3e34bae421f6_10432562ex.png,
下列过程涉及化学变化的是（ ）,氢氧化铁胶体净水,四氯化碳加入溴水中萃取溴,氯化钠的焰色反应,钢铁生锈,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a50ba69327c808d387c30f2a21b5_9167658ex.png,
